,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
169,"Wed, Dec 23, 2015",8:00p,San Antonio Spurs,108,Minnesota Timberwolves,83,Box Score,,16788,Target Center,
170,"Wed, Dec 23, 2015",8:00p,Portland Trail Blazers,89,New Orleans Pelicans,115,Box Score,,16686,Smoothie King Center,
171,"Wed, Dec 23, 2015",9:00p,Denver Nuggets,104,Phoenix Suns,96,Box Score,,17034,Talking Stick Resort Arena,
172,"Wed, Dec 23, 2015",10:30p,Utah Jazz,85,Golden State Warriors,103,Box Score,,19596,Oracle Arena,
173,"Wed, Dec 23, 2015",10:30p,Oklahoma City Thunder,120,Los Angeles Lakers,85,Box Score,,18997,STAPLES Center,
174,"Fri, Dec 25, 2015",12:00p,New Orleans Pelicans,88,Miami Heat,94,Box Score,OT,19845,AmericanAirlines Arena,
175,"Fri, Dec 25, 2015",2:30p,Chicago Bulls,105,Oklahoma City Thunder,96,Box Score,,18203,Chesapeake Energy Arena,
176,"Fri, Dec 25, 2015",5:00p,Cleveland Cavaliers,83,Golden State Warriors,89,Box Score,,19596,Oracle Arena,
177,"Fri, Dec 25, 2015",8:00p,San Antonio Spurs,84,Houston Rockets,88,Box Score,,18319,Toyota Center,
178,"Fri, Dec 25, 2015",10:30p,Los Angeles Clippers,94,Los Angeles Lakers,84,Box Score,,18997,STAPLES Center,
179,"Sat, Dec 26, 2015",4:00p,Washington Wizards,111,Brooklyn Nets,96,Box Score,,17732,Barclays Center,
180,"Sat, Dec 26, 2015",5:00p,Toronto Raptors,111,Milwaukee Bucks,90,Box Score,,16329,BMO Harris Bradley Center,
181,"Sat, Dec 26, 2015",7:00p,Memphis Grizzlies,92,Charlotte Hornets,98,Box Score,,19091,Time Warner Cable Arena,
182,"Sat, Dec 26, 2015",7:00p,Houston Rockets,108,New Orleans Pelicans,110,Box Score,,18248,Smoothie King Center,
183,"Sat, Dec 26, 2015",7:00p,Miami Heat,108,Orlando Magic,101,Box Score,,18846,Amway Center,
184,"Sat, Dec 26, 2015",7:30p,New York Knicks,98,Atlanta Hawks,117,Box Score,,19015,Philips Arena,
185,"Sat, Dec 26, 2015",7:30p,Boston Celtics,99,Detroit Pistons,93,Box Score,,18288,The Palace of Auburn Hills,
186,"Sat, Dec 26, 2015",8:00p,Indiana Pacers,102,Minnesota Timberwolves,88,Box Score,,15076,Target Center,
187,"Sat, Dec 26, 2015",8:30p,Chicago Bulls,111,Dallas Mavericks,118,Box Score,,20392,American Airlines Center,
188,"Sat, Dec 26, 2015",8:30p,Denver Nuggets,86,San Antonio Spurs,101,Box Score,,18420,AT&T Center,
189,"Sat, Dec 26, 2015",9:00p,Philadelphia 76ers,111,Phoenix Suns,104,Box Score,,17548,Talking Stick Resort Arena,
190,"Sat, Dec 26, 2015",9:00p,Los Angeles Clippers,109,Utah Jazz,104,Box Score,,19911,Vivint Smart Home Arena,
191,"Sat, Dec 26, 2015",10:00p,Cleveland Cavaliers,76,Portland Trail Blazers,105,Box Score,,19393,Moda Center,
192,"Sun, Dec 27, 2015",6:00p,Los Angeles Lakers,96,Memphis Grizzlies,112,Box Score,,18119,FedEx Forum,
193,"Sun, Dec 27, 2015",7:00p,New York Knicks,91,Boston Celtics,100,Box Score,,18624,TD Garden,
194,"Sun, Dec 27, 2015",7:00p,Denver Nuggets,112,Oklahoma City Thunder,122,Box Score,,18203,Chesapeake Energy Arena,
195,"Sun, Dec 27, 2015",9:00p,Portland Trail Blazers,98,Sacramento Kings,94,Box Score,,17317,Sleep Train Arena,
196,"Mon, Dec 28, 2015",7:00p,Los Angeles Lakers,98,Charlotte Hornets,108,Box Score,,19632,Time Warner Cable Arena,
197,"Mon, Dec 28, 2015",7:00p,Atlanta Hawks,87,Indiana Pacers,93,Box Score,,18165,Bankers Life Fieldhouse,
198,"Mon, Dec 28, 2015",7:00p,New Orleans Pelicans,89,Orlando Magic,104,Box Score,,17606,Amway Center,
199,"Mon, Dec 28, 2015",7:00p,Los Angeles Clippers,108,Washington Wizards,91,Box Score,,20356,Verizon Center,
200,"Mon, Dec 28, 2015",7:30p,Brooklyn Nets,111,Miami Heat,105,Box Score,,19975,AmericanAirlines Arena,
201,"Mon, Dec 28, 2015",8:00p,Toronto Raptors,97,Chicago Bulls,104,Box Score,,21898,United Center,
202,"Mon, Dec 28, 2015",8:30p,Milwaukee Bucks,93,Dallas Mavericks,103,Box Score,,20300,American Airlines Center,
203,"Mon, Dec 28, 2015",8:30p,Minnesota Timberwolves,95,San Antonio Spurs,101,Box Score,,18493,AT&T Center,
204,"Mon, Dec 28, 2015",9:00p,Cleveland Cavaliers,101,Phoenix Suns,97,Box Score,,18319,Talking Stick Resort Arena,
205,"Mon, Dec 28, 2015",9:00p,Philadelphia 76ers,91,Utah Jazz,95,Box Score,,19911,Vivint Smart Home Arena,
206,"Mon, Dec 28, 2015",10:30p,Sacramento Kings,103,Golden State Warriors,122,Box Score,,19596,Oracle Arena,
207,"Tue, Dec 29, 2015",7:30p,Detroit Pistons,96,New York Knicks,108,Box Score,,19812,Madison Square Garden (IV),
208,"Tue, Dec 29, 2015",8:00p,Atlanta Hawks,121,Houston Rockets,115,Box Score,,18211,Toyota Center,
209,"Tue, Dec 29, 2015",8:00p,Miami Heat,90,Memphis Grizzlies,99,Box Score,OT,18119,FedEx Forum,
210,"Tue, Dec 29, 2015",8:00p,Milwaukee Bucks,123,Oklahoma City Thunder,131,Box Score,,18203,Chesapeake Energy Arena,
211,"Tue, Dec 29, 2015",9:00p,Cleveland Cavaliers,93,Denver Nuggets,87,Box Score,,17523,Pepsi Center,
212,"Wed, Dec 30, 2015",7:00p,Los Angeles Clippers,122,Charlotte Hornets,117,Box Score,,19145,Time Warner Cable Arena,
213,"Wed, Dec 30, 2015",7:00p,Brooklyn Nets,93,Orlando Magic,100,Box Score,,18397,Amway Center,
214,"Wed, Dec 30, 2015",7:30p,Los Angeles Lakers,112,Boston Celtics,104,Box Score,,18624,TD Garden,
215,"Wed, Dec 30, 2015",7:30p,Washington Wizards,91,Toronto Raptors,94,Box Score,,19800,Air Canada Centre,
216,"Wed, Dec 30, 2015",8:00p,Indiana Pacers,100,Chicago Bulls,102,Box Score,OT,22206,United Center,
217,"Wed, Dec 30, 2015",8:00p,Utah Jazz,80,Minnesota Timberwolves,94,Box Score,,14326,Target Center,
218,"Wed, Dec 30, 2015",8:30p,Golden State Warriors,91,Dallas Mavericks,114,Box Score,,20494,American Airlines Center,
219,"Wed, Dec 30, 2015",8:30p,Phoenix Suns,79,San Antonio Spurs,112,Box Score,,18418,AT&T Center,
220,"Wed, Dec 30, 2015",10:00p,Denver Nuggets,103,Portland Trail Blazers,110,Box Score,,19393,Moda Center,
221,"Wed, Dec 30, 2015",10:00p,Philadelphia 76ers,110,Sacramento Kings,105,Box Score,,17317,Sleep Train Arena,
222,"Thu, Dec 31, 2015",6:00p,Minnesota Timberwolves,90,Detroit Pistons,115,Box Score,,15475,The Palace of Auburn Hills,
223,"Thu, Dec 31, 2015",6:00p,Milwaukee Bucks,120,Indiana Pacers,116,Box Score,,16348,Bankers Life Fieldhouse,
224,"Thu, Dec 31, 2015",7:00p,Golden State Warriors,114,Houston Rockets,110,Box Score,,18313,Toyota Center,
225,"Thu, Dec 31, 2015",8:00p,Los Angeles Clippers,95,New Orleans Pelicans,89,Box Score,,16920,Smoothie King Center,
226,"Thu, Dec 31, 2015",8:00p,Phoenix Suns,106,Oklahoma City Thunder,110,Box Score,,18203,Chesapeake Energy Arena,
227,"Thu, Dec 31, 2015",9:00p,Portland Trail Blazers,96,Utah Jazz,109,Box Score,,19380,Vivint Smart Home Arena,
0,"Fri, Jan 1, 2016",7:00p,Orlando Magic,91,Washington Wizards,103,Box Score,,16986,Verizon Center,
1,"Fri, Jan 1, 2016",7:30p,Dallas Mavericks,82,Miami Heat,106,Box Score,,19748,AmericanAirlines Arena,
2,"Fri, Jan 1, 2016",7:30p,Charlotte Hornets,94,Toronto Raptors,104,Box Score,,19800,Air Canada Centre,
3,"Fri, Jan 1, 2016",8:00p,New York Knicks,81,Chicago Bulls,108,Box Score,,22443,United Center,
4,"Fri, Jan 1, 2016",10:30p,Philadelphia 76ers,84,Los Angeles Lakers,93,Box Score,,18997,STAPLES Center,
5,"Sat, Jan 2, 2016",3:00p,Brooklyn Nets,100,Boston Celtics,97,Box Score,,18624,TD Garden,
6,"Sat, Jan 2, 2016",5:00p,Phoenix Suns,119,Sacramento Kings,142,Box Score,,17317,Sleep Train Arena,
7,"Sat, Jan 2, 2016",7:00p,Oklahoma City Thunder,109,Charlotte Hornets,90,Box Score,,19387,Time Warner Cable Arena,
